i	j	confidence	interest	lift	std_lift
Suspected lung cancer (situation)	Small cell carcinoma of lung (disorder)	0.1498301924485583	0.1478864789363803	77.084504228541	1.0000000000000002
Diabetic retinopathy associated with type II diabetes mellitus (disorder)	Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)	0.5722037543996872	0.5620921247730011	56.5886781384435	1.0000000000000002
Diabetic renal disease (disorder)	Microalbuminuria due to type 2 diabetes mellitus (disorder)	0.1404547949955214	0.1362555099365448	33.447311392990265	1.0000000000000002
Diabetes	Proliferative diabetic retinopathy due to type II diabetes mellitus (disorder)	0.039259565881044164	0.036637712321284044	14.973973559620212	1.0000000000000002
Hypertriglyceridemia (disorder)	Proliferative diabetic retinopathy due to type II diabetes mellitus (disorder)	0.039938414569954735	0.037316561010194614	15.232892936098539	1.0000000000000002
Diabetes	Diabetic retinopathy associated with type II diabetes mellitus (disorder)	0.26461076759889274	0.24693938821884232	14.973973559620212	1.0000000000000002
('Diabetic retinopathy associated with type II diabetes mellitus (disorder)', 'Diabetes')	Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)	0.5722037543996872	0.5620921247730011	56.5886781384435	1.0000000000000002
Polyp of colon	Primary malignant neoplasm of colon	0.03924661455594892	0.03634486625043516	13.525161531541006	1.0000000000000002
Hypertriglyceridemia (disorder)	Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)	0.1540293715127908	0.14391774188610473	15.232892936098537	1.0000000000000002
Diabetes	Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)	0.1514112746746695	0.14129964504798342	14.973973559620212	1.0000000000000002
('Polyp of colon', 'Diabetic renal disease (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Myocardial Infarction', 'History of cardiac arrest (situation)')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('Cardiac Arrest', 'Myocardial Infarction')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('Metabolic syndrome X (disorder)', 'Myocardial Infarction')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('Diabetes', 'Myocardial Infarction')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('Hypertriglyceridemia (disorder)', 'Myocardial Infarction')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('Chronic kidney disease stage 2 (disorder)', 'Anemia (disorder)')	Hypertriglyceridemia (disorder)	1.0	0.9343525879033637	15.232892936098535	1.0
('Chronic kidney disease stage 1 (disorder)', 'Neuropathy due to type 2 diabetes mellitus (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Anemia (disorder)', 'Myocardial Infarction')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('Myocardial Infarction', 'Chronic sinusitis (disorder)')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('Rupture of appendix', 'Streptococcal sore throat (disorder)')	Appendicitis	1.0	0.9534087551767569	21.463259970704392	1.0
('Myocardial Infarction', 'Acute viral pharyngitis (disorder)')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('Myocardial Infarction', 'Otitis media')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
